t,x1_x2_x3_1,x1_x2_x3_2,x1_x2_x3_3,xhat1_xhat2_xhat3_1,xhat1_xhat2_xhat3_2,xhat1_xhat2_xhat3_3,u
3.2,-0.00269130691565481,-0.000728381320004138,0.00170264974377114,-0.00269130691573973,-0.000728381325730354,0.00170264974189685,-8.95660009195467e-05
3.21,-0.002620454279904,-0.000711354822566427,0.00167015995992415,-0.00262045427998049,-0.000711354827723758,0.00167015995823601,-0.000129447976905304
3.22,-0.00255134359470668,-0.000694653222967185,0.00163793678410453,-0.00255134359477557,-0.000694653227612111,0.00163793678258406,-0.000166558543995687
3.23,-0.0024839373549715,-0.00067827385512614,0.00160599876636418,-0.00248393735503355,-0.000678273859309535,0.00160599876499474,-0.000201037452148201
3.24,-0.00241819862020843,-0.000662213867462498,0.00157436292707654,-0.00241819862026432,-0.000662213871230191,0.00157436292584313,-0.000233018314015019
3.25,-0.00235409101853349,-0.000646470238191733,0.00154304483731637,-0.00235409101858383,-0.000646470241585006,0.0015430448362055,-0.000262628850880802
3.26,-0.00229157874978966,-0.000631039789818569,0.00151205869567056,-0.002291578749835,-0.000631039792874607,0.00151205869467006,-0.000289991129548099
3.27,-0.00223062658783716,-0.000615919202861864,0.00148141740162201,-0.002230626587878,-0.000615919205614163,0.00148141740072091,-0.000315221790468976
3.28,-0.0021711998820642,-0.000601105028845643,0.00145113262564386,-0.00217119988210098,-0.000601105031324373,0.0014511326248323,-0.000338432267413718
3.29,-0.00211326455816648,-0.000586593702589205,0.00142121487613637,-0.0021132645581996,-0.000586593704821538,0.00142121487540546,-0.000359728998958737
3.3,-0.00205678711824178,-0.000572381553827841,0.00139167356333363,-0.00205678711827162,-0.000572381555838255,0.00139167356267536,-0.000379213632068954
3.31,-0.00200173464024361,-0.000558464818194505,0.00136251706030305,-0.00200173464027048,-0.000558464820005049,0.0013625170597102,-0.000396983218041719
3.32,-0.00194807477683571,-0.000544839647591474,0.00133375276115571,-0.00194807477685991,-0.000544839649222007,0.00133375276062179,-0.000413130401071655
3.33,-0.00189577575368744,-0.000531502119979917,0.00130538713658161,-0.00189577575370923,-0.000531502121448324,0.00130538713610076,-0.000427743599688187
3.34,-0.00184480636724787,-0.000518448248614101,0.00127742578681931,-0.0018448063672675,-0.000518448249936494,0.00127742578638627,-0.000440907181311122
3.35,-0.00179513598203472,-0.000505673990745908,0.00124987349216573,-0.0017951359820524,-0.000505673991936796,0.00124987349177573,-0.000452701630161314
3.36,-0.00174673452747237,-0.000493175255824251,0.00122273426112754,-0.00174673452748829,-0.000493175256896705,0.00122273426077632,-0.000463203708757187
